record_id,classification,evidence,n_methods,flag_iqr,flag_zscore,flag_if,if_score,dbscan_noise,KMeans_Segment,CC_Utilization,Transaction_to_Balance_Ratio,Loan_to_Balance_Ratio,Account Balance,Credit Limit,Credit Card Balance,Transaction Type,Transaction Amount,Account Balance After Transaction,Anomaly
4385,Risk Signal,transaksi 38× saldo (tekanan likuiditas); pinjaman 328× saldo (leverage ekstrem),3,True,True,True,0.817,False,Liquidity-Stressed / High-Leverage,0.456,37.791,327.78,107.2,8294.43,3779.5,Deposit,4051.15,-3943.95,1
308,Risk Signal,transaksi 26× saldo (tekanan likuiditas); pinjaman 252× saldo (leverage ekstrem),3,True,True,True,0.815,True,Liquidity-Stressed / High-Leverage,1.51,26.15,251.901,143.73,2502.57,3778.11,Withdrawal,3758.57,3902.3,1
4053,Risk Signal,transaksi 30× saldo (tekanan likuiditas); pinjaman 290× saldo (leverage ekstrem),3,True,True,True,0.811,False,Liquidity-Stressed / High-Leverage,0.539,30.003,289.553,134.89,2661.1,1435.06,Transfer,4047.06,-3912.17,1
965,Risk Signal,transaksi 31× saldo (tekanan likuiditas); pinjaman 254× saldo (leverage ekstrem),3,True,True,True,0.808,False,Liquidity-Stressed / High-Leverage,0.227,30.707,253.8,158.13,6454.38,1463.87,Transfer,4855.76,-4697.63,1
1874,Risk Signal,transaksi 24× saldo (tekanan likuiditas); pinjaman 327× saldo (leverage ekstrem),3,True,True,True,0.808,False,Liquidity-Stressed / High-Leverage,0.133,23.891,327.442,121.82,6252.59,833.35,Withdrawal,2910.4,3032.22,1
2203,Risk Signal,transaksi 27× saldo (tekanan likuiditas); pinjaman 206× saldo (leverage ekstrem),3,True,True,True,0.798,False,Liquidity-Stressed / High-Leverage,0.675,26.832,206.093,163.67,6617.69,4467.49,Deposit,4391.6,-4227.93,1
2960,Risk Signal,transaksi 21× saldo (tekanan likuiditas); pinjaman 404× saldo (leverage ekstrem),3,True,True,True,0.797,False,Liquidity-Stressed / High-Leverage,0.428,21.376,403.898,112.11,4797.54,2053.62,Deposit,2396.5,-2284.39,1
1164,Risk Signal,transaksi 26× saldo (tekanan likuiditas); pinjaman 204× saldo (leverage ekstrem),3,True,True,True,0.795,False,Liquidity-Stressed / High-Leverage,0.185,25.842,203.974,186.3,8794.37,1629.02,Transfer,4814.44,5000.74,1
2765,Risk Signal,transaksi 28× saldo (tekanan likuiditas); pinjaman 171× saldo (leverage ekstrem),3,True,True,True,0.792,False,Liquidity-Stressed / High-Leverage,0.734,28.391,170.855,125.37,6437.55,4723.33,Deposit,3559.38,3684.75,1
1943,Risk Signal,transaksi 33× saldo (tekanan likuiditas); pinjaman 152× saldo (leverage ekstrem),3,True,True,True,0.784,False,Liquidity-Stressed / High-Leverage,0.436,33.389,151.547,124.6,8776.81,3830.97,Transfer,4160.29,-4035.69,1
2356,Risk Signal,transaksi 22× saldo (tekanan likuiditas); pinjaman 196× saldo (leverage ekstrem),3,True,True,True,0.783,False,Liquidity-Stressed / High-Leverage,0.237,22.06,195.532,194.61,1835.35,435.78,Deposit,4293.18,-4098.57,1
